Date,Open,High,Low,Close,Volume,Adj Close
2008-10-14,116.26,116.40,103.14,104.08,70749800,104.08
2008-10-13,104.55,110.53,101.02,110.26,54967000,110.26
2008-10-10,85.70,100.00,85.00,96.80,79260700,96.80
2008-10-09,93.35,95.80,86.60,88.74,57763700,88.74
2008-10-08,85.91,96.33,85.68,89.79,78847900,89.79
2008-10-07,100.48,101.50,88.95,89.16,67099000,89.16
2008-10-06,91.96,98.78,87.54,98.14,75264900,98.14
2008-10-03,104.00,106.50,94.65,97.07,81942800,97.07
2008-10-02,108.01,108.79,100.00,100.10,57477300,100.10
2008-10-01,111.92,112.36,107.39,109.12,46303000,109.12
2008-09-30,108.25,115.00,106.30,113.66,58095800,113.66
2008-09-29,119.62,119.68,100.59,105.26,93581400,105.26
2008-09-26,124.91,129.80,123.00,128.24,40208700,128.24
2008-09-25,129.80,134.79,128.52,131.93,35865600,131.93
2008-09-24,127.27,130.95,125.15,128.71,37393400,128.71
2008-09-23,131.85,135.80,126.66,126.84,45727300,126.84
2008-09-22,139.94,140.25,130.66,131.05,30577300,131.05
2008-09-19,142.60,144.20,136.31,140.91,51102700,140.91
2008-09-18,130.57,135.43,120.68,134.09,59819300,134.09
2008-09-17,138.49,138.51,127.83,127.83,42847200,127.83
2008-09-16,133.86,142.50,132.15,139.88,42804800,139.88
2008-09-15,142.03,147.69,140.36,140.36,32852600,140.36
2008-09-12,150.91,150.91,146.50,148.94,28322400,148.94
2008-09-11,148.18,152.99,146.00,152.65,34666800,152.65
2008-09-10,152.32,154.99,148.80,151.61,34755100,151.61
2008-09-09,156.86,159.96,149.79,151.68,44442500,151.68
2008-09-08,164.57,164.89,151.46,157.92,37356400,157.92
2008-09-05,158.59,162.40,157.65,160.18,28083800,160.18
2008-09-04,165.86,167.91,160.81,161.22,26549500,161.22
2008-09-03,166.84,168.68,164.00,166.96,26244100,166.96
2008-09-02,172.40,173.50,165.00,166.19,27884400,166.19
2008-08-29,172.96,173.50,169.04,169.53,21403200,169.53
2008-08-28,175.28,176.25,172.75,173.74,15394500,173.74
2008-08-27,173.31,175.76,172.19,174.67,17045900,174.67
2008-08-26,172.76,174.88,172.61,173.64,15912500,173.64
2008-08-25,176.15,176.23,171.66,172.55,17300900,172.55
2008-08-22,175.82,177.50,175.57,176.79,15700400,176.79
2008-08-21,174.47,175.45,171.89,174.29,19276600,174.29
2008-08-20,174.77,176.94,173.61,175.84,18105400,175.84
2008-08-19,174.54,177.07,171.81,173.53,21997000,173.53
2008-08-18,175.57,177.81,173.82,175.39,19691200,175.39
2008-08-15,179.04,179.75,175.05,175.74,25294700,175.74
2008-08-14,178.33,180.45,177.84,179.32,25393200,179.32
2008-08-13,177.98,180.00,175.90,179.30,30083800,179.30
2008-08-12,173.52,179.29,173.51,176.73,29867100,176.73
2008-08-11,170.07,176.50,169.67,173.56,31821100,173.56
2008-08-08,163.86,169.65,163.75,169.55,25499900,169.55
2008-08-07,162.71,166.15,161.50,163.57,24013300,163.57
2008-08-06,159.97,167.40,158.00,164.19,28264600,164.19
2008-08-05,155.42,160.80,154.82,160.64,24584700,160.64
2008-08-04,156.60,157.90,152.91,153.23,21161700,153.23
2008-08-01,159.90,159.99,155.75,156.66,19451400,156.66
2008-07-31,157.54,162.20,156.98,158.95,22767800,158.95
2008-07-30,157.78,160.49,156.08,159.88,25899400,159.88
2008-07-29,155.41,159.45,153.65,157.08,24431100,157.08
2008-07-28,162.34,162.47,154.02,154.40,27882600,154.40
2008-07-25,160.40,163.00,158.65,162.12,22629900,162.12
2008-07-24,164.32,165.26,158.45,159.03,29986400,159.03
2008-07-23,164.99,168.37,161.56,166.26,37920300,166.26
2008-07-22,149.00,162.76,146.53,162.02,67128300,162.02
2008-07-21,166.90,167.50,161.12,166.29,48588200,166.29
2008-07-18,168.52,169.65,165.00,165.15,31014800,165.15
2008-07-17,174.10,174.98,171.39,171.81,27054500,171.81
2008-07-16,170.20,172.93,168.60,172.81,26706800,172.81
2008-07-15,172.48,173.74,166.39,169.64,37144400,169.64
2008-07-14,179.24,179.30,173.08,173.88,31644800,173.88
2008-07-11,175.47,177.11,171.00,172.58,33214700,172.58
2008-07-10,174.92,177.34,171.37,176.63,30024600,176.63
2008-07-09,180.20,180.91,174.14,174.25,31992000,174.25
2008-07-08,175.40,179.70,172.74,179.55,31726800,179.55
2008-07-07,173.16,177.13,171.90,175.16,29299700,175.16
2008-07-03,169.59,172.17,165.75,170.12,18691500,170.12
2008-07-02,175.20,177.45,168.18,168.18,29911400,168.18
2008-07-01,164.23,174.72,164.00,174.68,39688600,174.68
2008-06-30,170.19,172.00,166.62,167.44,24435600,167.44
2008-06-27,166.51,170.57,164.15,170.09,37223200,170.09
2008-06-26,174.07,174.84,168.01,168.26,31057500,168.26
2008-06-25,174.61,178.83,173.88,177.39,23016100,177.39
2008-06-24,172.37,175.78,171.63,173.25,22212400,173.25
2008-06-23,174.74,175.88,171.56,173.16,23063600,173.16
2008-06-20,179.35,181.00,175.00,175.27,31727400,175.27
2008-06-19,178.55,182.34,176.80,180.90,28283900,180.90
2008-06-18,181.12,182.20,177.35,178.75,28981000,178.75
2008-06-17,178.10,181.99,177.41,181.43,32130600,181.43
2008-06-16,171.30,177.90,169.07,176.84,37561800,176.84
2008-06-13,171.64,174.16,165.31,172.37,48069900,172.37
2008-06-12,181.49,182.60,171.20,173.26,46726200,173.26
2008-06-11,184.34,186.00,179.59,180.81,34341100,180.81
2008-06-10,180.51,186.78,179.02,185.64,40728600,185.64
2008-06-09,184.79,184.94,175.75,181.61,67442600,181.61
2008-06-06,188.00,189.95,185.55,185.64,34438700,185.64
2008-06-05,186.34,189.84,185.70,189.43,26980200,189.43
2008-06-04,184.02,187.09,183.23,185.19,25963700,185.19
2008-06-03,186.86,188.20,182.34,185.37,26804300,185.37
2008-06-02,188.60,189.65,184.53,186.10,24280000,186.10
2008-05-30,187.45,189.54,187.38,188.75,21792300,188.75
2008-05-29,186.76,188.20,185.50,186.69,23113800,186.69
2008-05-28,187.41,187.95,183.72,187.01,26570700,187.01
2008-05-27,182.75,186.43,181.84,186.43,28210900,186.43
2008-05-23,180.77,181.99,177.80,181.17,32389900,181.17
2008-05-22,179.26,181.33,172.00,177.05,43097700,177.05
2008-05-21,185.67,187.95,176.25,178.19,41344900,178.19
2008-05-20,181.82,186.16,180.12,185.90,34637500,185.90
2008-05-19,187.86,188.69,181.30,183.60,33779300,183.60
2008-05-16,190.11,190.30,187.00,187.62,27348900,187.62
2008-05-15,186.81,189.90,184.20,189.73,31186000,189.73
2008-05-14,191.23,192.24,185.57,186.26,32743700,186.26
2008-05-13,188.61,191.45,187.86,189.96,29401300,189.96
2008-05-12,185.21,188.87,182.85,188.16,29234400,188.16
2008-05-09,183.16,184.25,181.37,183.45,24038300,183.45
2008-05-08,183.77,186.50,183.07,185.06,32110200,185.06
2008-05-07,186.05,188.20,180.54,182.59,41326200,182.59
2008-05-06,184.66,187.12,182.18,186.66,32816800,186.66
2008-05-05,181.92,185.31,181.05,184.73,30519900,184.73
2008-05-02,180.19,181.92,178.55,180.94,35931500,180.94
2008-05-01,174.96,180.00,174.86,180.00,32270600,180.00
2008-04-30,176.19,180.00,172.92,173.95,40697300,173.95
2008-04-29,171.11,175.66,170.25,175.05,32981300,175.05
2008-04-28,169.75,173.75,169.13,172.24,28114800,172.24
2008-04-25,170.70,171.10,166.42,169.73,35445500,169.73
2008-04-24,165.34,169.98,159.19,168.94,60573800,168.94
2008-04-23,164.05,164.84,161.08,162.89,53721100,162.89
2008-04-22,167.40,168.00,158.09,160.20,51413300,160.20
2008-04-21,162.21,168.50,161.76,168.16,37112600,168.16
2008-04-18,159.12,162.26,158.38,161.04,36670200,161.04
2008-04-17,154.17,156.00,153.35,154.49,25152400,154.49
2008-04-16,151.72,154.10,150.62,153.70,28420500,153.70
2008-04-15,149.40,149.72,145.72,148.38,24929900,148.38
2008-04-14,146.77,149.25,144.54,147.78,30181700,147.78
2008-04-11,152.72,153.30,146.40,147.14,43217000,147.14
2008-04-10,151.13,155.42,150.60,154.55,34134400,154.55
2008-04-09,153.31,153.89,150.46,151.44,31192800,151.44
2008-04-08,153.55,156.45,152.32,152.84,36224800,152.84
2008-04-07,156.13,159.69,155.11,155.89,41368800,155.89
2008-04-04,152.19,154.71,150.75,153.08,30514900,153.08
2008-04-03,147.06,153.63,147.00,151.61,37556000,151.61
2008-04-02,148.78,151.20,145.85,147.49,37320300,147.49
2008-04-01,146.30,149.66,143.61,149.53,36877400,149.53
2008-03-31,143.27,145.71,142.52,143.50,27430900,143.50
2008-03-28,141.80,144.65,141.60,143.01,25521800,143.01
2008-03-27,144.95,145.31,139.99,140.25,35708200,140.25
2008-03-26,140.87,145.74,140.64,145.06,42217300,145.06
2008-03-25,139.96,143.10,137.33,140.98,37585400,140.98
2008-03-24,134.01,140.85,133.64,139.53,38104300,139.53
2008-03-20,131.12,133.29,129.18,133.27,32456700,133.27
2008-03-19,133.12,134.29,129.67,129.67,36090600,129.67
2008-03-18,129.18,133.00,128.67,132.82,43040000,132.82
2008-03-17,122.55,128.59,122.55,126.73,38307100,126.73
2008-03-14,129.88,130.30,124.20,126.61,41308600,126.61
2008-03-13,124.10,129.50,123.00,127.94,45075100,127.94
2008-03-12,127.04,128.68,125.17,126.03,37843900,126.03
2008-03-11,124.10,127.48,122.00,127.35,41569400,127.35
2008-03-10,121.98,123.46,119.37,119.69,35699600,119.69
2008-03-07,120.41,122.98,119.05,122.25,43945100,122.25
2008-03-06,124.61,127.50,120.81,120.93,52632100,120.93
2008-03-05,123.58,125.14,122.25,124.49,43637000,124.49
2008-03-04,121.99,124.88,120.40,124.62,63763700,124.62
2008-03-03,124.44,125.98,118.00,121.73,56894400,121.73
2008-02-29,129.29,130.21,124.80,125.02,44838600,125.02
2008-02-28,127.20,132.20,125.77,129.91,57794800,129.91
2008-02-27,118.23,123.05,118.09,122.96,52683500,122.96
2008-02-26,117.64,121.09,115.44,119.15,53746000,119.15
2008-02-25,118.59,120.17,116.66,119.74,44884800,119.74
2008-02-22,122.48,122.51,115.87,119.46,54638500,119.46
2008-02-21,126.05,126.47,120.86,121.54,33504100,121.54
2008-02-20,122.20,124.60,121.68,123.82,34551400,123.82
2008-02-19,125.99,126.75,121.44,122.18,35894500,122.18
2008-02-15,126.27,127.08,124.06,124.63,32189300,124.63
2008-02-14,129.40,130.80,127.01,127.46,34074900,127.46
2008-02-13,126.68,129.78,125.63,129.40,34590500,129.40
2008-02-12,130.70,131.00,123.62,124.86,43785000,124.86
2008-02-11,128.01,129.98,127.20,129.45,42908300,129.45
2008-02-08,122.08,125.70,121.60,125.48,48427600,125.48
2008-02-07,119.97,124.78,117.27,121.24,74404700,121.24
2008-02-06,130.83,131.92,121.77,122.00,56188300,122.00
2008-02-05,130.43,134.00,128.90,129.36,40751500,129.36
2008-02-04,134.21,135.90,131.42,131.65,32115500,131.65
2008-02-01,136.24,136.59,132.18,133.75,36098000,133.75
2008-01-31,129.45,136.65,129.40,135.36,48059800,135.36
2008-01-30,131.37,135.45,130.00,132.18,44394700,132.18
2008-01-29,131.15,132.79,129.05,131.54,39285100,131.54
2008-01-28,128.16,133.20,126.45,130.01,52673000,130.01
2008-01-25,138.99,139.09,129.61,130.01,55526400,130.01
2008-01-24,139.99,140.70,132.01,135.60,71638100,135.60
2008-01-23,136.19,140.00,126.14,139.07,120463200,139.07
2008-01-22,148.06,159.98,146.00,155.64,86955500,155.64
2008-01-18,161.71,165.75,159.61,161.36,61583700,161.36
2008-01-17,161.51,165.36,158.42,160.89,62780700,160.89
2008-01-16,165.23,169.01,156.70,159.64,79065900,159.64
2008-01-15,177.72,179.22,164.66,169.04,83688500,169.04
2008-01-14,177.52,179.42,175.17,178.78,39301800,178.78
2008-01-11,176.00,177.85,170.00,172.69,44010200,172.69
2008-01-10,177.58,181.00,175.41,178.02,52963400,178.02
2008-01-09,171.30,179.50,168.30,179.40,64781500,179.40
2008-01-08,180.14,182.46,170.80,171.25,54422000,171.25
2008-01-07,181.25,183.60,170.23,177.64,74006900,177.64
2008-01-04,191.45,193.00,178.89,180.05,51994000,180.05
